log,q_w,mean_hz,std_hz,mae_hz,p95_step_hz,max_step_hz,hf_ratio,score
00000443,0.0005,0.47393041034721695,0.04964810119646642,0.024299076141350354,0.0,0.2794,0.009980019381270725,0.01225453296205175
00000443,0.0001,0.4718920625144354,0.04347204792481273,0.021991777658018307,0.0,0.27749999999999997,0.009703847169325203,0.010944738089886765
00000443,1e-05,0.4762160982369698,0.042055264924442136,0.026314720147817397,0.0,0.277,0.010351260978146879,0.012099942536789431
00000443,1e-06,0.47759932250365705,0.042054723224387885,0.027697574871044718,0.0,0.277,0.01055906685648083,0.012514744783752203
00000443,1e-07,0.47762457464008023,0.0420822971119204,0.027722811609823695,0.0,0.277,0.010559625576218569,0.012525073194139149
00000444,0.0005,0.4568319201669711,0.015220654679491014,0.008071745369162537,0.00039999999999995595,0.4707,0.05855877112429472,0.004343589078697818
00000444,0.0001,0.4477753913383772,0.013861773939556503,0.005920590920949643,0.00019999999999997797,0.56,0.026840595309138505,0.003362354670240521
00000444,1e-05,0.4504180733107227,0.006802041472217951,0.0011001500130446156,9.999999999998899e-05,0.56,0.28062804578452893,0.0011102491511351688
00000444,1e-06,0.4503612118445083,0.006926167513004985,0.0010683472475867457,0.0,0.56,0.24688621971370853,0.0010131209255765223
00000444,1e-07,0.45030784633446397,0.006920681421562928,0.0010202256717975519,0.0,0.56,0.2521877597602901,0.0009981358436955586
