method,method_label,score,mae_hz,std_hz,p95_step_hz,max_step_hz,hf_ratio,final_abs_err_hz
fixed_init_045,Fixed init 0.45Hz (q_w=1e-9),0.006316724166993881,0.010742494494692289,0.0073647581858619394,0.0,0.10570000000000002,0.00012945564779615298,0.04715
xy_always_on,XY EKF always-on,0.007524982157747943,0.009718517864400556,0.011544267984277762,0.0,0.11155000000000004,0.0003804058135085112,0.0691
xy_sw_hold,XY EKF SW-hold,0.014772469204213235,0.03019839014427397,0.014079521609310457,0.0,0.16544999999999996,0.07857570403216886,0.08609999999999995
xy_sw_amp_gate,XY EKF SW+amp-gate,0.023747825316602782,0.05726318124815785,0.01573870942155427,0.0,0.11684999999999998,0.003059920581024278,0.09989999999999999
fixed_init_060,Fixed init 0.60Hz (q_w=1e-9),0.03489482084636414,0.10307049780702972,0.011836715042552206,0.0,0.09695000000000004,9.425464055674352e-05,0.05579999999999999
baseline_3axis_logsw,"Baseline EKF (3-axis, log SW)",0.05142783474601645,0.1455180679205572,0.028349143698493205,0.0010649999999999768,0.14170000000000005,0.11961868753827115,0.07744999999999999
