log,method,method_label,mean_hz,std_hz,mae_hz,p95_step_hz,max_step_hz,hf_ratio,start_hz,final_hz,final_abs_err_hz,score
00000443,fixed_init_045,Fixed init 0.45Hz (q_w=1e-9),0.47136519886363626,0.014686325476084668,0.021375078914141424,0.0,0.2113,0.0001732344017424487,0.469,0.5442,0.0942,0.012591156221850894
00000443,xy_always_on,XY EKF always-on,0.4630296875,0.022577277666307242,0.013042155934343408,0.0,0.22030000000000005,9.632563742031249e-05,0.4534,0.5817,0.13169999999999998,0.012755374546933746
00000443,xy_sw_hold,XY EKF SW-hold,0.4700489741161615,0.021701344601969267,0.020144807449494928,0.0,0.20879999999999993,0.00015136537725710667,0.45,0.5821,0.13209999999999994,0.014818576695045403
00000443,xy_sw_amp_gate,XY EKF SW+amp-gate,0.4844310606060606,0.01640479587001103,0.03443106060606061,0.0,0.08779999999999999,0.0005324329141414308,0.45,0.5695,0.1195,0.017944797768819284
00000443,fixed_init_060,Fixed init 0.60Hz (q_w=1e-9),0.5567491792929294,0.02359428611081431,0.10772752525252521,0.0,0.1936,0.00011428823599781318,0.5628,0.4368,0.01319999999999999,0.035337686186838996
00000443,baseline_3axis_logsw,"Baseline EKF (3-axis, log SW)",0.587158648989899,0.03772032172989905,0.1373049558080808,0.0013299999999999694,0.20290000000000008,0.04074529944507031,0.6424,0.4784,0.02839999999999998,0.04771351891541411
00000444,fixed_init_045,Fixed init 0.45Hz (q_w=1e-9),0.4498900899247569,4.3190895639210825e-05,0.00010991007524315467,0.0,0.0001000000000000445,8.567689384985726e-05,0.4497,0.4499,9.999999999998899e-05,4.229211213686693e-05
00000444,xy_always_on,XY EKF always-on,0.4563948797944577,0.0005112583022482833,0.006394879794457704,0.0,0.0028000000000000247,0.00066448598959671,0.4555,0.4565,0.006500000000000006,0.00229458976856214
00000444,xy_sw_hold,XY EKF SW-hold,0.4901846577353643,0.006457698616651649,0.04025197283905301,0.0,0.12209999999999999,0.15700004268708062,0.45,0.4901,0.04009999999999997,0.014726361713381066
00000444,xy_sw_amp_gate,XY EKF SW+amp-gate,0.5293357496788402,0.015072622973097515,0.0800953018902551,0.0,0.14589999999999997,0.005587408247907125,0.45,0.5303,0.08029999999999998,0.02955085286438628
00000444,fixed_init_060,Fixed init 0.60Hz (q_w=1e-9),0.5484134703615343,7.914397429010108e-05,0.09841347036153422,0.0,0.000300000000000078,7.422104511567384e-05,0.5491,0.5484,0.09839999999999999,0.034451955505889274
00000444,baseline_3axis_logsw,"Baseline EKF (3-axis, log SW)",0.6037311800330336,0.018977965667087357,0.15373118003303357,0.0007999999999999841,0.08050000000000002,0.19849207563147198,0.6238,0.5765,0.1265,0.05514215057661878
