log,window,mode,rmse,corr,smooth_ratio,prx_diff_std,freq_mae,freq_max,sw_active
00000443,w35_100,baseline,2.512204916810411,0.2995433082263245,0.6085622534171107,0.14181525824794175,0.0994258468677494,0.31000000000000005,0.6597061098221191
00000443,w35_100,model_strong,2.1668546958691195,0.3553955073091413,0.6170446840164775,0.14379194687636865,0.12006106728538282,0.25,0.6597061098221191
00000444,w40_110,baseline,1.4814024789801628,0.5710718293156696,0.5196005724585555,0.10669731368306958,0.1307516571428571,0.25,0.5344285714285715
00000444,w40_110,model_strong,1.5187253872357194,0.5604304041651778,0.45240378181572016,0.09289879722688142,0.13058641428571427,0.25,0.5344285714285715
