TimeUS,PLX,PLY,PLZ,SW,F,P
95185159,-1.6220368146896362,0.44815757870674133,3.56108021736145,0,0.6000000238418579,-10015481.0
95195216,-1.0749675035476685,0.2610047459602356,3.769169569015503,0,0.6000000238418579,-10015481.0
95205058,-1.3985719680786133,0.5624722242355347,3.533466100692749,0,0.6000000238418579,-10015481.0
95215665,-1.5756288766860962,0.6806410551071167,3.521260976791382,0,0.6000000238418579,-10015481.0
95225061,-1.5334855318069458,0.011057109571993351,3.5534780025482178,0,0.6000000238418579,-10015481.0
95235159,-1.80888032913208,-0.0743793249130249,3.4512479305267334,0,0.6000000238418579,-10015481.0
95245131,-1.7770272493362427,0.37948331236839294,3.401449680328369,0,0.6000000238418579,-10015481.0
95255465,-2.010021686553955,0.043972041457891464,3.266965627670288,0,0.6000000238418579,-10015481.0
95265454,-1.6811317205429077,-0.13131371140480042,3.324249029159546,0,0.6000000238418579,-10015481.0
95275196,-1.8152204751968384,0.10971663892269135,3.405738353729248,0,0.6000000238418579,-10015481.0
95285137,-1.9316596984863281,0.3494369387626648,3.257418155670166,0,0.6000000238418579,-10015481.0
95295306,-1.6859790086746216,0.12336830794811249,3.5257790088653564,0,0.6000000238418579,-10015481.0
95305930,-1.7637866735458374,0.028083838522434235,3.547762632369995,0,0.6000000238418579,-10015481.0
95315405,-1.7034077644348145,0.2500450611114502,3.4640069007873535,0,0.6000000238418579,-10015481.0
95325109,-1.5851802825927734,0.3428507149219513,3.6717681884765625,0,0.6000000238418579,-10015481.0
95335185,-1.711767315864563,0.33304014801979065,3.4705381393432617,0,0.6000000238418579,-10015481.0
95345138,-1.581949234008789,0.3406030535697937,3.52852725982666,0,0.6000000238418579,-10015481.0
95355536,-0.8846554160118103,0.32017549872398376,3.873995065689087,0,0.6000000238418579,-10015481.0
95366029,-0.9829735159873962,0.10478004068136215,3.7371222972869873,0,0.6000000238418579,-10015481.0
95375191,-1.0338908433914185,-0.05192384123802185,3.889559268951416,0,0.6000000238418579,-10015481.0
95385155,-1.0241338014602661,-0.14064612984657288,3.896756649017334,0,0.6000000238418579,-10015481.0
95395243,-1.456169843673706,-0.2627425193786621,3.7084739208221436,0,0.6000000238418579,-10015481.0
95405365,-1.1782735586166382,-0.31114453077316284,3.795313835144043,0,0.6000000238418579,-10015481.0
95415479,-1.3173243999481201,-0.22729815542697906,3.8081045150756836,0,0.6000000238418579,-10015481.0
95425150,-1.2904192209243774,0.004360493738204241,3.7736518383026123,0,0.6000000238418579,-10015481.0
95435212,-1.1394541263580322,0.08045945316553116,3.9719021320343018,0,0.6000000238418579,-10015481.0
