TimeUS,PLX,PLY,PLZ,SW,F,P
185477561,0.21870636940002441,0.15752291679382324,-23.47934341430664,0,0.6000000238418579,0.0
185487613,0.21694280207157135,0.15872716903686523,-23.48426628112793,0,0.6000000238418579,0.0
185497496,0.21631017327308655,0.15866217017173767,-23.488323211669922,0,0.6000000238418579,0.0
185508203,0.21757493913173676,0.15482217073440552,-23.488187789916992,0,0.6000000238418579,0.0
185517874,0.21943295001983643,0.15661676228046417,-23.481124877929688,0,0.6000000238418579,0.0
185527610,0.21382296085357666,0.1609375774860382,-23.478227615356445,0,0.6000000238418579,0.0
185537580,0.21745549142360687,0.15894430875778198,-23.479150772094727,0,0.6000000238418579,0.0
185547641,0.22420476377010345,0.1574440449476242,-23.486236572265625,0,0.6000000238418579,0.0
185557990,0.21843239665031433,0.16449369490146637,-23.495439529418945,0,0.6000000238418579,0.0
185568447,0.214698925614357,0.16680875420570374,-23.48545265197754,0,0.6000000238418579,0.0
185577575,0.21384519338607788,0.1633632332086563,-23.47854232788086,0,0.6000000238418579,0.0
185587527,0.21490801870822906,0.15766198933124542,-23.485319137573242,0,0.6000000238418579,0.0
185597508,0.21567125618457794,0.15407346189022064,-23.488475799560547,0,0.6000000238418579,0.0
185607810,0.21979273855686188,0.15306703746318817,-23.494518280029297,0,0.6000000238418579,0.0
185617919,0.22054222226142883,0.1598573923110962,-23.49625015258789,0,0.6000000238418579,0.0
185627513,0.21973325312137604,0.1620190441608429,-23.48351287841797,0,0.6000000238418579,0.0
185637591,0.21784184873104095,0.16374246776103973,-23.47524070739746,0,0.6000000238418579,0.0
185647615,0.21423228085041046,0.16176137328147888,-23.47734260559082,0,0.6000000238418579,0.0
185657858,0.21727272868156433,0.1596548706293106,-23.480976104736328,0,0.6000000238418579,0.0
185667828,0.21755366027355194,0.1614372730255127,-23.489288330078125,0,0.6000000238418579,0.0
185677608,0.22063486278057098,0.1614995151758194,-23.48725128173828,0,0.6000000238418579,0.0
185687542,0.2190971076488495,0.16169531643390656,-23.487234115600586,0,0.6000000238418579,0.0
185697505,0.2143852859735489,0.15699726343154907,-23.486186981201172,0,0.6000000238418579,0.0
185707876,0.21096844971179962,0.15303081274032593,-23.476917266845703,0,0.6000000238418579,0.0
185717796,0.21062518656253815,0.15707919001579285,-23.48332405090332,0,0.6000000238418579,0.0
185727534,0.21195033192634583,0.1625261753797531,-23.500486373901367,0,0.6000000238418579,0.0
185737584,0.21676674485206604,0.1590730994939804,-23.493806838989258,0,0.6000000238418579,0.0
