TimeUS,PLX,PLY,PLZ,SW,F,P
57607478,0.29285305738449097,0.06563157588243484,-23.565046310424805,1,0.5844432711601257,0.0
57618153,0.28472521901130676,0.06985542178153992,-23.5515193939209,1,0.5844432711601257,0.0
57627911,0.27937638759613037,0.03798086196184158,-23.546886444091797,1,0.5844432711601257,0.0
57637923,0.28316640853881836,0.05800453945994377,-23.54568099975586,1,0.5844432711601257,0.0
57648185,0.29138463735580444,0.07603491097688675,-23.555431365966797,1,0.5844432711601257,0.0
57657899,0.29767996072769165,0.06607677787542343,-23.570112228393555,1,0.5844432711601257,0.0
57668123,0.2998420000076294,0.06738510727882385,-23.560239791870117,1,0.5844432711601257,0.0
57677874,0.2975698411464691,0.05504472926259041,-23.548961639404297,1,0.5844432711601257,0.0
57687930,0.288539320230484,0.04861410707235336,-23.55048370361328,1,0.5844432711601257,0.0
57698150,0.2889588177204132,0.0622062124311924,-23.550424575805664,1,0.5844432711601257,0.0
57707937,0.2866981625556946,0.07064477354288101,-23.558958053588867,1,0.5844432711601257,0.0
57718131,0.28201109170913696,0.06224086135625839,-23.571115493774414,1,0.5844432711601257,0.0
57727921,0.28590822219848633,0.06423604488372803,-23.568172454833984,1,0.5844432711601257,0.0
57737932,0.2879369258880615,0.05612630397081375,-23.549772262573242,1,0.5844432711601257,0.0
57748711,0.2915416657924652,0.050293415784835815,-23.54387855529785,1,0.5844432711601257,0.0
57757926,0.2984490692615509,0.07318752259016037,-23.544261932373047,1,0.5844432711601257,0.0
57768110,0.29565250873565674,0.06863397359848022,-23.55592918395996,1,0.5844432711601257,0.0
57777971,0.28910425305366516,0.04906173050403595,-23.565805435180664,1,0.5844432711601257,0.0
57787863,0.2860063910484314,0.06434766203165054,-23.564729690551758,1,0.5844432711601257,0.0
57798155,0.27820396423339844,0.05769909545779228,-23.55575180053711,1,0.5844432711601257,0.0
57807863,0.2763490378856659,0.05494200438261032,-23.542760848999023,1,0.5844432711601257,0.0
57818707,0.28134310245513916,0.07457925379276276,-23.55554962158203,1,0.5844432711601257,0.0
57827857,0.29023274779319763,0.05601901933550835,-23.573434829711914,1,0.5844432711601257,0.0
57837876,0.2954799234867096,0.05828562751412392,-23.56591796875,1,0.5844432711601257,0.0
57848156,0.2915557622909546,0.07452214509248734,-23.554805755615234,1,0.5844432711601257,0.0
57857946,0.28533878922462463,0.05973886698484421,-23.549880981445312,1,0.5844432711601257,0.0
57868607,0.28867581486701965,0.06622910499572754,-23.54219627380371,1,0.5844432711601257,0.0
57877910,0.2930372953414917,0.06117742508649826,-23.550949096679688,1,0.5844432711601257,0.0
57887861,0.28808411955833435,0.05124228075146675,-23.57027244567871,1,0.5844432711601257,0.0
57898172,0.2886529862880707,0.06876038014888763,-23.56669044494629,1,0.5844432711601257,0.0
57907852,0.29080215096473694,0.06694041937589645,-23.549108505249023,1,0.5844432711601257,0.0
57918133,0.2919953465461731,0.05635540187358856,-23.53937339782715,1,0.5844432711601257,0.0
57928119,0.2950747013092041,0.06502236425876617,-23.538110733032227,1,0.5844432711601257,0.0
57937879,0.29333505034446716,0.052374325692653656,-23.546152114868164,1,0.5844432711601257,0.0
57948675,0.28872138261795044,0.05774063616991043,-23.56635093688965,1,0.5844432711601257,0.0
57957906,0.2836304008960724,0.07518449425697327,-23.5655574798584,1,0.5844432711601257,0.0
57967836,0.2806153893470764,0.06594304740428925,-23.548376083374023,1,0.5844432711601257,0.0
57978161,0.28589358925819397,0.05155570060014725,-23.54180908203125,1,0.5844432711601257,0.0
57987844,0.28710293769836426,0.05025581270456314,-23.545734405517578,1,0.5844432711601257,0.0
