TimeUS,PLX,PLY,PLZ,SW
332700883,0.20380908250808716,0.16331470012664795,-23.46805763244629,0
332711290,0.20376728475093842,0.16846296191215515,-23.46207046508789,0
332721289,0.20948916673660278,0.17238479852676392,-23.467226028442383,0
332731973,0.20873670279979706,0.16905082762241364,-23.46921730041504,0
332741623,0.20434564352035522,0.16867943108081818,-23.46503448486328,0
332751229,0.20166867971420288,0.1680956780910492,-23.45924186706543,0
332761276,0.20607486367225647,0.16946567595005035,-23.456165313720703,0
332771264,0.20841725170612335,0.1670648455619812,-23.463272094726562,0
332781577,0.20298394560813904,0.16847960650920868,-23.4717960357666,0
332791625,0.2010803073644638,0.16808614134788513,-23.471881866455078,0
332801325,0.20626425743103027,0.17341217398643494,-23.469884872436523,0
332811233,0.20503678917884827,0.17179282009601593,-23.471744537353516,0
332821286,0.20163780450820923,0.16809624433517456,-23.463943481445312,0
332831568,0.21007417142391205,0.16605092585086823,-23.456390380859375,0
332841611,0.2173914611339569,0.1729268729686737,-23.46211814880371,0
332851311,0.21479162573814392,0.17812559008598328,-23.47175407409668,0
332861204,0.20731759071350098,0.17012125253677368,-23.47140121459961,0
332871199,0.20046678185462952,0.1635972410440445,-23.46574592590332,0
332881743,0.2007916420698166,0.16364219784736633,-23.4592227935791,0
332892058,0.20419825613498688,0.1684730499982834,-23.45871925354004,0
332901321,0.2044650763273239,0.17177854478359222,-23.459184646606445,0
332911300,0.2053973227739334,0.16785913705825806,-23.468908309936523,0
332921367,0.20951347053050995,0.16583141684532166,-23.472274780273438,0
332931519,0.20973823964595795,0.16551975905895233,-23.46732521057129,0
332941618,0.20777657628059387,0.16803309321403503,-23.457931518554688,0
332951278,0.2082781344652176,0.16713932156562805,-23.46147918701172,0
332961193,0.20606568455696106,0.16753874719142914,-23.463010787963867,0
332971275,0.20600001513957977,0.16795292496681213,-23.46257209777832,0
332981626,0.20191369950771332,0.16858896613121033,-23.46403694152832,0
332991613,0.20657850801944733,0.16936606168746948,-23.466541290283203,0
333001348,0.20851664245128632,0.1616886854171753,-23.464519500732422,0
333011198,0.20404721796512604,0.15879729390144348,-23.46060562133789,0
333021233,0.20127955079078674,0.16813306510448456,-23.45716094970703,0
333031590,0.20623137056827545,0.1671803593635559,-23.45840072631836,0
333041610,0.20960034430027008,0.16224828362464905,-23.465435028076172,0
333051203,0.2081393152475357,0.1630638688802719,-23.463455200195312,0
333061301,0.20571358501911163,0.17033705115318298,-23.460281372070312,0
333071200,0.2072778195142746,0.16852949559688568,-23.451417922973633,0
333081744,0.21598318219184875,0.16683998703956604,-23.458030700683594,0
333092117,0.211994007229805,0.17018254101276398,-23.4656925201416,0
333101343,0.214676633477211,0.16934950649738312,-23.459596633911133,0
333111325,0.20758533477783203,0.1673130989074707,-23.46205711364746,0
333121242,0.20498217642307281,0.1653776913881302,-23.461578369140625,0
333131568,0.20785737037658691,0.16163542866706848,-23.456640243530273,0
333141567,0.21137191355228424,0.16543389856815338,-23.46229362487793,0
333151210,0.21366101503372192,0.17153535783290863,-23.46194076538086,0
333161199,0.2105976939201355,0.17155103385448456,-23.465742111206055,0
333171197,0.2120608240365982,0.16555023193359375,-23.46746253967285,0
333181630,0.2097642421722412,0.16641612350940704,-23.46531867980957,0
333191610,0.20567212998867035,0.1711987555027008,-23.460472106933594,0
333201345,0.20257525146007538,0.1706809401512146,-23.456531524658203,0
333211213,0.2056311070919037,0.1668916940689087,-23.460124969482422,0
333221295,0.20927059650421143,0.16585734486579895,-23.465185165405273,0
333231625,0.20926961302757263,0.16756367683410645,-23.46864891052246,0
333241606,0.20697806775569916,0.16770119965076447,-23.46735382080078,0
333251277,0.2082471251487732,0.16919544339179993,-23.455320358276367,0
333261270,0.20757324993610382,0.16406692564487457,-23.45076560974121,0
333271323,0.20195244252681732,0.16297516226768494,-23.462451934814453,0
333281713,0.20121079683303833,0.16803725063800812,-23.468849182128906,0
333292002,0.20440009236335754,0.16729754209518433,-23.462173461914062,0
333301326,0.20602639019489288,0.16859641671180725,-23.448083877563477,0
333311215,0.20732133090496063,0.16992075741291046,-23.451969146728516,0
333321232,0.21005494892597198,0.17474453151226044,-23.46138572692871,0
333331614,0.21227535605430603,0.17152953147888184,-23.47016143798828,0
333341621,0.20725388824939728,0.1661529839038849,-23.466615676879883,0
333351202,0.20972062647342682,0.16344068944454193,-23.462013244628906,0
333361373,0.20919105410575867,0.16606208682060242,-23.45533561706543,0
333371293,0.21480971574783325,0.17338111996650696,-23.460445404052734,0
333381629,0.21768271923065186,0.17299452424049377,-23.464672088623047,0
333391637,0.21271634101867676,0.1685752272605896,-23.459354400634766,0
333401376,0.20862913131713867,0.16505193710327148,-23.46225929260254,0
333411286,0.21106436848640442,0.1667540818452835,-23.463382720947266,0
