TimeUS,PLX,PLY,PLZ,SW,RealFreq,RealPhase
198299520,0.13516469299793243,0.08754302561283112,-23.521209716796875,0,0.5794000029563904,0.0
198309440,0.14614300429821014,0.08191949874162674,-23.515609741210938,0,0.5794000029563904,0.0
198320160,0.15368854999542236,0.08160994201898575,-23.510700225830078,0,0.5794000029563904,0.0
198329150,0.14990057051181793,0.08784345537424088,-23.506328582763672,0,0.5794000029563904,0.0
198339154,0.1401279717683792,0.10199075192213058,-23.51183319091797,0,0.5794000029563904,0.0
198349444,0.13727959990501404,0.09756088256835938,-23.516571044921875,0,0.5794000029563904,0.0
198359185,0.13393563032150269,0.08567702770233154,-23.515031814575195,0,0.5794000029563904,0.0
198369518,0.13660037517547607,0.0952271968126297,-23.50286865234375,0,0.5794000029563904,0.0
198379205,0.14426091313362122,0.09417915344238281,-23.501760482788086,0,0.5794000029563904,0.0
198389239,0.15096673369407654,0.09124971181154251,-23.509014129638672,0,0.5794000029563904,0.0
198399437,0.15103477239608765,0.09112285077571869,-23.511220932006836,0,0.5794000029563904,0.0
198409221,0.14513656497001648,0.09554880112409592,-23.51485252380371,0,0.5794000029563904,0.0
198420100,0.1347535252571106,0.09870067983865738,-23.512338638305664,0,0.5794000029563904,0.0
198429240,0.13559135794639587,0.09560756385326385,-23.505718231201172,0,0.5794000029563904,0.0
198439151,0.1389508843421936,0.09647245705127716,-23.508747100830078,0,0.5794000029563904,0.0
198449565,0.1449732780456543,0.09649886190891266,-23.511573791503906,0,0.5794000029563904,0.0
198459139,0.15014615654945374,0.09660077840089798,-23.509618759155273,0,0.5794000029563904,0.0
198469543,0.15089252591133118,0.09979143738746643,-23.512781143188477,0,0.5794000029563904,0.0
198479153,0.1421726644039154,0.09198561310768127,-23.515520095825195,0,0.5794000029563904,0.0
198489245,0.13890638947486877,0.08634249120950699,-23.51370620727539,0,0.5794000029563904,0.0
198500014,0.13695253431797028,0.08906718343496323,-23.512454986572266,0,0.5794000029563904,0.0
198509276,0.1350320726633072,0.09394296258687973,-23.509906768798828,0,0.5794000029563904,0.0
198519575,0.13549432158470154,0.09304431825876236,-23.509979248046875,0,0.5794000029563904,0.0
198529256,0.14405177533626556,0.08804967999458313,-23.512006759643555,0,0.5794000029563904,0.0
198539142,0.1527458131313324,0.08992017805576324,-23.51093864440918,0,0.5794000029563904,0.0
198550179,0.15251855552196503,0.0956127792596817,-23.506994247436523,0,0.5794000029563904,0.0
198559153,0.1453327238559723,0.09249421209096909,-23.505754470825195,0,0.5794000029563904,0.0
198569560,0.1401708424091339,0.08564051985740662,-23.511882781982422,0,0.5794000029563904,0.0
198579224,0.13326993584632874,0.08634544909000397,-23.514591217041016,0,0.5794000029563904,0.0
198589237,0.13229645788669586,0.09294109791517258,-23.521089553833008,0,0.5794000029563904,0.0
198599591,0.13604968786239624,0.0973561480641365,-23.511924743652344,0,0.5794000029563904,0.0
198609256,0.14290562272071838,0.0950302705168724,-23.505538940429688,0,0.5794000029563904,0.0
198620124,0.14781296253204346,0.08942501246929169,-23.51146697998047,0,0.5794000029563904,0.0
198629244,0.1505555659532547,0.08575177192687988,-23.50969886779785,0,0.5794000029563904,0.0
198639221,0.14891929924488068,0.09380371123552322,-23.51219367980957,0,0.5794000029563904,0.0
198649573,0.14407919347286224,0.09556389600038528,-23.512601852416992,0,0.5794000029563904,0.0
198659135,0.13874024152755737,0.08686838299036026,-23.510879516601562,0,0.5794000029563904,0.0
198669569,0.13218319416046143,0.08497042208909988,-23.51535987854004,0,0.5794000029563904,0.0
198679224,0.136472687125206,0.08616963028907776,-23.517255783081055,0,0.5794000029563904,0.0
198689245,0.13993239402770996,0.08939030021429062,-23.512521743774414,0,0.5794000029563904,0.0
198700144,0.150618776679039,0.08844030648469925,-23.510889053344727,0,0.5794000029563904,0.0
198709152,0.15102656185626984,0.08664225041866302,-23.509838104248047,0,0.5794000029563904,0.0
198719501,0.1439889371395111,0.0885363221168518,-23.520633697509766,0,0.5794000029563904,0.0
198729254,0.13645480573177338,0.09457164257764816,-23.51717185974121,0,0.5794000029563904,0.0
198739157,0.13423208892345428,0.09161835163831711,-23.50628089904785,0,0.5794000029563904,0.0
198750199,0.13634739816188812,0.09441637992858887,-23.504003524780273,0,0.5794000029563904,0.0
198759192,0.14119406044483185,0.09653688222169876,-23.509475708007812,0,0.5794000029563904,0.0
198769528,0.146005779504776,0.09053394943475723,-23.516361236572266,0,0.5794000029563904,0.0
198779227,0.14878687262535095,0.08718713372945786,-23.51880645751953,0,0.5794000029563904,0.0
198789297,0.1473514437675476,0.08553070574998856,-23.51000213623047,0,0.5794000029563904,0.0
198799233,0.14319466054439545,0.08779508620500565,-23.503402709960938,0,0.5794000029563904,0.0
198810093,0.14268188178539276,0.09430582076311111,-23.50687599182129,0,0.5794000029563904,0.0
198820147,0.14019529521465302,0.09225195646286011,-23.506343841552734,0,0.5794000029563904,0.0
198829235,0.14072725176811218,0.08883983641862869,-23.512676239013672,0,0.5794000029563904,0.0
198839224,0.13507972657680511,0.08445892482995987,-23.51508140563965,0,0.5794000029563904,0.0
198849160,0.13931627571582794,0.09075895696878433,-23.510120391845703,0,0.5794000029563904,0.0
198859524,0.14075277745723724,0.08928757160902023,-23.507564544677734,0,0.5794000029563904,0.0
198869531,0.14195938408374786,0.08917585760354996,-23.510469436645508,0,0.5794000029563904,0.0
198879252,0.13751153647899628,0.08626533299684525,-23.511363983154297,0,0.5794000029563904,0.0
198889258,0.13558506965637207,0.08542650192975998,-23.51456642150879,0,0.5794000029563904,0.0
198899163,0.13505223393440247,0.0940868929028511,-23.520055770874023,0,0.5794000029563904,0.0
198909554,0.13897018134593964,0.09345756471157074,-23.514705657958984,0,0.5794000029563904,0.0
198919484,0.1419697254896164,0.08835320919752121,-23.507482528686523,0,0.5794000029563904,0.0
198929244,0.14675010740756989,0.08803293108940125,-23.50381088256836,0,0.5794000029563904,0.0
198939165,0.1435646116733551,0.08938456326723099,-23.508005142211914,0,0.5794000029563904,0.0
198949163,0.14365319907665253,0.09314639866352081,-23.50935173034668,0,0.5794000029563904,0.0
198959958,0.14186882972717285,0.08836489915847778,-23.515689849853516,0,0.5794000029563904,0.0
198969522,0.14040988683700562,0.08265344798564911,-23.51374053955078,0,0.5794000029563904,0.0
198979157,0.14018911123275757,0.08257532864809036,-23.510690689086914,0,0.5794000029563904,0.0
198989203,0.14045247435569763,0.08235987275838852,-23.510082244873047,0,0.5794000029563904,0.0
198999221,0.14796707034111023,0.08443833887577057,-23.504812240600586,0,0.5794000029563904,0.0
199010070,0.14879901707172394,0.08921074867248535,-23.50902557373047,0,0.5794000029563904,0.0
199020243,0.14934007823467255,0.09198316186666489,-23.505830764770508,0,0.5794000029563904,0.0
199029248,0.14457882940769196,0.09184487909078598,-23.50872230529785,0,0.5794000029563904,0.0
199039141,0.13938571512699127,0.09200363606214523,-23.514307022094727,0,0.5794000029563904,0.0
199049173,0.135164275765419,0.08424840122461319,-23.51180076599121,0,0.5794000029563904,0.0
199059524,0.13746817409992218,0.08827333897352219,-23.503583908081055,0,0.5794000029563904,0.0
199069557,0.14597822725772858,0.0884413793683052,-23.513593673706055,0,0.5794000029563904,0.0
199079605,0.15107230842113495,0.0875372588634491,-23.515213012695312,0,0.5794000029563904,0.0
199089262,0.15738455951213837,0.0889781042933464,-23.51512908935547,0,0.5794000029563904,0.0
199099226,0.15259872376918793,0.08819044381380081,-23.51106834411621,0,0.5794000029563904,0.0
199109497,0.14918115735054016,0.0923645868897438,-23.503084182739258,0,0.5794000029563904,0.0
199119144,0.14605408906936646,0.09250225871801376,-23.500322341918945,0,0.5794000029563904,0.0
199129562,0.13866955041885376,0.09002213925123215,-23.502429962158203,0,0.5794000029563904,0.0
199139164,0.13985490798950195,0.09368674457073212,-23.512372970581055,0,0.5794000029563904,0.0
199149203,0.150029718875885,0.09177196025848389,-23.509765625,0,0.5794000029563904,0.0
199159931,0.1521940529346466,0.09583645313978195,-23.505496978759766,0,0.5794000029563904,0.0
199169149,0.15151827037334442,0.09775499999523163,-23.499752044677734,0,0.5794000029563904,0.0
199179545,0.14289164543151855,0.08974316716194153,-23.503795623779297,0,0.5794000029563904,0.0
199189180,0.14008577167987823,0.08185975253582001,-23.507427215576172,0,0.5794000029563904,0.0
199199214,0.13600853085517883,0.08311863243579865,-23.51274299621582,0,0.5794000029563904,0.0
199210075,0.13903607428073883,0.09242967516183853,-23.506046295166016,0,0.5794000029563904,0.0
199219136,0.14396072924137115,0.09680397063493729,-23.50200843811035,0,0.5794000029563904,0.0
199229551,0.14634591341018677,0.09766799956560135,-23.5072078704834,0,0.5794000029563904,0.0
199239250,0.1474778950214386,0.09945148974657059,-23.511940002441406,0,0.5794000029563904,0.0
199249254,0.14543959498405457,0.10007452964782715,-23.512557983398438,0,0.5794000029563904,0.0
199259530,0.1423138529062271,0.09937875717878342,-23.515928268432617,0,0.5794000029563904,0.0
199269230,0.13960880041122437,0.09354986995458603,-23.509939193725586,0,0.5794000029563904,0.0
199279555,0.13734157383441925,0.08606033772230148,-23.506057739257812,0,0.5794000029563904,0.0
199289296,0.13168910145759583,0.08961339294910431,-23.510313034057617,0,0.5794000029563904,0.0
199299145,0.1389465481042862,0.09602627903223038,-23.511768341064453,0,0.5794000029563904,0.0
199309666,0.14710208773612976,0.09336496144533157,-23.5137939453125,0,0.5794000029563904,0.0
199319232,0.15305274724960327,0.0870056301355362,-23.511693954467773,0,0.5794000029563904,0.0
199329614,0.1524738222360611,0.08821263909339905,-23.509809494018555,0,0.5794000029563904,0.0
199339135,0.14419470727443695,0.09777090698480606,-23.501880645751953,0,0.5794000029563904,0.0
199349260,0.13273830711841583,0.09287180751562119,-23.50421714782715,0,0.5794000029563904,0.0
199359993,0.1355721652507782,0.08760742843151093,-23.50898551940918,0,0.5794000029563904,0.0
199369182,0.14518460631370544,0.08201684802770615,-23.51184844970703,0,0.5794000029563904,0.0
199379528,0.143919438123703,0.08598642796278,-23.5123291015625,0,0.5794000029563904,0.0
199389246,0.1460060328245163,0.09166835248470306,-23.51192283630371,0,0.5794000029563904,0.0
199399233,0.14878688752651215,0.08895657956600189,-23.504621505737305,0,0.5794000029563904,0.0
199409945,0.15214583277702332,0.08626231551170349,-23.497190475463867,0,0.5794000029563904,0.0
199419156,0.151423841714859,0.08650889247655869,-23.50322723388672,0,0.5794000029563904,0.0
199429550,0.14894665777683258,0.0905180498957634,-23.508840560913086,0,0.5794000029563904,0.0
199439228,0.14365792274475098,0.09075511991977692,-23.512800216674805,0,0.5794000029563904,0.0
199449159,0.1442398726940155,0.0880625918507576,-23.517459869384766,0,0.5794000029563904,0.0
199459552,0.150510773062706,0.08992787450551987,-23.50884437561035,0,0.5794000029563904,0.0
199469249,0.15426310896873474,0.08875609934329987,-23.500532150268555,0,0.5794000029563904,0.0
199479477,0.1529393196105957,0.08915876597166061,-23.503036499023438,0,0.5794000029563904,0.0
199489184,0.1478458195924759,0.09148067981004715,-23.51290512084961,0,0.5794000029563904,0.0
199499208,0.1425551325082779,0.09359482675790787,-23.518156051635742,0,0.5794000029563904,0.0
199509600,0.13800373673439026,0.09570129960775375,-23.51699447631836,0,0.5794000029563904,0.0
199519141,0.1366368532180786,0.09697748720645905,-23.503002166748047,0,0.5794000029563904,0.0
199529512,0.1397012174129486,0.09124557673931122,-23.498170852661133,0,0.5794000029563904,0.0
199539208,0.14310677349567413,0.08845117688179016,-23.503324508666992,0,0.5794000029563904,0.0
199549283,0.14277394115924835,0.08747740834951401,-23.512882232666016,0,0.5794000029563904,0.0
199559991,0.1378444880247116,0.0931738093495369,-23.512714385986328,0,0.5794000029563904,0.0
199569221,0.1400015503168106,0.09101886302232742,-23.50798225402832,0,0.5794000029563904,0.0
199579487,0.13932886719703674,0.08596420288085938,-23.5032901763916,0,0.5794000029563904,0.0
199589261,0.1398758888244629,0.0865635797381401,-23.50794219970703,0,0.5794000029563904,0.0
199599223,0.13503152132034302,0.09236805140972137,-23.514686584472656,0,0.5794000029563904,0.0
199610057,0.1347116082906723,0.08786559104919434,-23.511127471923828,0,0.5794000029563904,0.0
199619200,0.14535489678382874,0.08159241080284119,-23.509918212890625,0,0.5794000029563904,0.0
199629572,0.14923186600208282,0.08286572247743607,-23.509254455566406,0,0.5794000029563904,0.0
199639138,0.14463050663471222,0.0934532880783081,-23.506080627441406,0,0.5794000029563904,0.0
199649190,0.14071279764175415,0.09718635678291321,-23.506717681884766,0,0.5794000029563904,0.0
199659513,0.1420210897922516,0.09386114776134491,-23.506481170654297,0,0.5794000029563904,0.0
199669156,0.14479701220989227,0.0939994603395462,-23.506685256958008,0,0.5794000029563904,0.0
199679528,0.142961323261261,0.09150095283985138,-23.513324737548828,0,0.5794000029563904,0.0
199689278,0.1420980989933014,0.09342551231384277,-23.51295280456543,0,0.5794000029563904,0.0
199699159,0.14804916083812714,0.08803306519985199,-23.511798858642578,0,0.5794000029563904,0.0
199709553,0.14619199931621552,0.08037399500608444,-23.505231857299805,0,0.5794000029563904,0.0
199719220,0.14640697836875916,0.0850628986954689,-23.502477645874023,0,0.5794000029563904,0.0
199729586,0.1370537132024765,0.09571300446987152,-23.509218215942383,0,0.5794000029563904,0.0
199739142,0.13732664287090302,0.09405425935983658,-23.517406463623047,0,0.5794000029563904,0.0
199749267,0.1387951374053955,0.09185222536325455,-23.523130416870117,0,0.5794000029563904,0.0
199760061,0.14075374603271484,0.09217165410518646,-23.513757705688477,0,0.5794000029563904,0.0
199769176,0.13983656466007233,0.09674665331840515,-23.50716781616211,0,0.5794000029563904,0.0
199779558,0.1460484266281128,0.09949196875095367,-23.505578994750977,0,0.5794000029563904,0.0
199789303,0.14693401753902435,0.09271370619535446,-23.51230239868164,0,0.5794000029563904,0.0
199799167,0.14963950216770172,0.08846407383680344,-23.51095962524414,0,0.5794000029563904,0.0
199809998,0.14640206098556519,0.09462333470582962,-23.514080047607422,0,0.5794000029563904,0.0
199819221,0.13833832740783691,0.09907183796167374,-23.514617919921875,0,0.5794000029563904,0.0
199829561,0.14125531911849976,0.09802265465259552,-23.505613327026367,0,0.5794000029563904,0.0
199839144,0.13773591816425323,0.09446506202220917,-23.5017147064209,0,0.5794000029563904,0.0
199849241,0.14428558945655823,0.09106102585792542,-23.5072078704834,0,0.5794000029563904,0.0
199859544,0.14596831798553467,0.09160424023866653,-23.507312774658203,0,0.5794000029563904,0.0
199869256,0.15010946989059448,0.09177381545305252,-23.507524490356445,0,0.5794000029563904,0.0
199879506,0.14218273758888245,0.0880950540304184,-23.50693130493164,0,0.5794000029563904,0.0
199889251,0.13676181435585022,0.08903207629919052,-23.506454467773438,0,0.5794000029563904,0.0
199899152,0.13612163066864014,0.08810727298259735,-23.5089168548584,0,0.5794000029563904,0.0
199909499,0.14215026795864105,0.09501853585243225,-23.509784698486328,0,0.5794000029563904,0.0
199919157,0.14858603477478027,0.09554403275251389,-23.51149559020996,0,0.5794000029563904,0.0
199929518,0.1540670096874237,0.09504786878824234,-23.505813598632812,0,0.5794000029563904,0.0
