TimeUS,PLX,PLY,PLZ,SW
229347763,0.09257499873638153,0.16714216768741608,-23.531326293945312,0
229357769,0.08902402222156525,0.15943889319896698,-23.534088134765625,0
229367964,0.08632776141166687,0.15769170224666595,-23.53313636779785,0
229377630,0.0880013033747673,0.15991289913654327,-23.520788192749023,0
229387932,0.09349659830331802,0.15805965662002563,-23.52118492126465,0
229397601,0.09243974089622498,0.15727253258228302,-23.52484703063965,0
229407717,0.0977165549993515,0.15881448984146118,-23.530858993530273,0
229418380,0.09697876870632172,0.15833662450313568,-23.535888671875,0
229427753,0.09576161950826645,0.1617680788040161,-23.530927658081055,0
229437872,0.09555049240589142,0.16082026064395905,-23.522626876831055,0
229447733,0.09492377191781998,0.15786349773406982,-23.522939682006836,0
229457603,0.09390705078840256,0.16035014390945435,-23.52861976623535,0
229467883,0.09206523001194,0.16594064235687256,-23.536048889160156,0
229477625,0.09056290239095688,0.16530098021030426,-23.535181045532227,0
229488146,0.09146115183830261,0.1600799262523651,-23.523574829101562,0
229497613,0.09200700372457504,0.1538044959306717,-23.51945686340332,0
229507645,0.08992047607898712,0.16067640483379364,-23.520763397216797,0
229517862,0.08788309246301651,0.16231918334960938,-23.526826858520508,0
229527750,0.09529531747102737,0.1599462926387787,-23.5341739654541,0
229537869,0.09464366734027863,0.15733346343040466,-23.5322322845459,0
229547791,0.09106194227933884,0.15787610411643982,-23.521684646606445,0
229557566,0.08914262056350708,0.1633685827255249,-23.519472122192383,0
229567936,0.08905655890703201,0.16013933718204498,-23.520404815673828,0
229577605,0.08965826034545898,0.15494611859321594,-23.523073196411133,0
229587951,0.09226822853088379,0.1509627103805542,-23.528461456298828,0
229597640,0.09131227433681488,0.16417169570922852,-23.529850006103516,0
229607694,0.0900534838438034,0.1706157773733139,-23.524946212768555,0
229618463,0.09377720206975937,0.16018033027648926,-23.517894744873047,0
229627827,0.09138365834951401,0.15422551333904266,-23.517955780029297,0
229637908,0.09643672406673431,0.16240185499191284,-23.528005599975586,0
229647791,0.09974285215139389,0.17123959958553314,-23.532529830932617,0
229657624,0.0918661579489708,0.1639994978904724,-23.52850914001465,0
229667912,0.08467434346675873,0.15504178404808044,-23.52263641357422,0
229677637,0.08848100900650024,0.15183335542678833,-23.518299102783203,0
229688119,0.09154100716114044,0.15961752831935883,-23.520326614379883,0
229697641,0.09193727374076843,0.16247306764125824,-23.528324127197266,0
229707698,0.0896993950009346,0.15850913524627686,-23.525840759277344,0
229717933,0.09017455577850342,0.15051309764385223,-23.52637481689453,0
229727793,0.08684683591127396,0.15264223515987396,-23.529176712036133,0
229737917,0.0902465358376503,0.15681061148643494,-23.524173736572266,0
229747806,0.09042360633611679,0.1623765081167221,-23.522459030151367,0
229757545,0.08858407288789749,0.1587497889995575,-23.526084899902344,0
229767963,0.08904219418764114,0.1615438461303711,-23.5231990814209,0
229777620,0.09462239593267441,0.16539065539836884,-23.519651412963867,0
229787957,0.09480281174182892,0.1604064702987671,-23.518190383911133,0
229797594,0.09568490833044052,0.14979757368564606,-23.51555061340332,0
229807725,0.08985503762960434,0.15509337186813354,-23.517637252807617,0
229818482,0.08801688998937607,0.16333924233913422,-23.521493911743164,0
229827775,0.08994349092245102,0.16497232019901276,-23.51866340637207,0
229837905,0.09435772895812988,0.15404298901557922,-23.51652717590332,0
229847777,0.092164546251297,0.1502271145582199,-23.520797729492188,0
229857714,0.09225459396839142,0.15793833136558533,-23.518280029296875,0
229867942,0.09151096642017365,0.16072718799114227,-23.51265525817871,0
229877679,0.0967046245932579,0.15755371749401093,-23.51338005065918,0
229888123,0.09166113287210464,0.1570940613746643,-23.525630950927734,0
229897562,0.09386174380779266,0.16103287041187286,-23.52680206298828,0
229907725,0.09738694131374359,0.16387805342674255,-23.519556045532227,0
229917901,0.09717004001140594,0.1622970849275589,-23.517608642578125,0
229927771,0.09111905097961426,0.1564948558807373,-23.52014923095703,0
229937868,0.0832643136382103,0.15683884918689728,-23.526432037353516,0
229947787,0.08312861621379852,0.16639621555805206,-23.530879974365234,0
229957571,0.08781129866838455,0.16626077890396118,-23.525598526000977,0
229967903,0.09557853639125824,0.1537523865699768,-23.515522003173828,0
229977661,0.09657276421785355,0.14832711219787598,-23.507461547851562,0
229987937,0.09270671755075455,0.15695178508758545,-23.51447868347168,0
229997637,0.08956705033779144,0.16234879195690155,-23.525102615356445,0
230007724,0.0869303047657013,0.15499962866306305,-23.529300689697266,0
230018429,0.09215328842401505,0.1502278745174408,-23.524682998657227,0
230027791,0.09752333164215088,0.15550774335861206,-23.51679229736328,0
230037915,0.0971788763999939,0.16376373171806335,-23.510581970214844,0
230047714,0.09549766778945923,0.1571333110332489,-23.516685485839844,0
230057663,0.0875672772526741,0.15261684358119965,-23.52254867553711,0
230067951,0.08584541827440262,0.15176434814929962,-23.51924705505371,0
230077654,0.08941331505775452,0.15896576642990112,-23.515832901000977,0
230088052,0.0940135270357132,0.16295236349105835,-23.51668930053711,0
230097617,0.09277331829071045,0.160489022731781,-23.516448974609375,0
230107697,0.09170395135879517,0.15486478805541992,-23.516679763793945,0
230117938,0.09094811975955963,0.1596817970275879,-23.523544311523438,0
230127802,0.0921998918056488,0.1632814258337021,-23.52475929260254,0
230137879,0.09477443993091583,0.15784679353237152,-23.519704818725586,0
230147808,0.09929405897855759,0.1548127979040146,-23.509201049804688,0
230157544,0.09982481598854065,0.15366868674755096,-23.51336669921875,0
230167919,0.09600314497947693,0.15343306958675385,-23.521818161010742,0
230177596,0.09892421960830688,0.154626727104187,-23.52339744567871,0
230187986,0.09611526876688004,0.15180028975009918,-23.52425193786621,0
230197603,0.09532342106103897,0.15774741768836975,-23.51668357849121,0
230207712,0.09632628411054611,0.16191090643405914,-23.511146545410156,0
230218492,0.09751652181148529,0.16001160442829132,-23.510581970214844,0
230227747,0.09109856933355331,0.15886667370796204,-23.518930435180664,0
230237923,0.09165925532579422,0.15897321701049805,-23.525022506713867,0
230247720,0.09307857602834702,0.16046519577503204,-23.530784606933594,0
230257674,0.09736005961894989,0.1622777283191681,-23.52477264404297,0
230267943,0.09495902061462402,0.1532871276140213,-23.518117904663086,0
230277580,0.08781422674655914,0.15361957252025604,-23.51700210571289,0
230288052,0.08886687457561493,0.16320033371448517,-23.519628524780273,0
230297546,0.08997444063425064,0.1647481769323349,-23.520326614379883,0
230307699,0.09136827290058136,0.1624329686164856,-23.51508903503418,0
230317883,0.09576211869716644,0.15767696499824524,-23.522607803344727,0
230327813,0.0960046648979187,0.16304995119571686,-23.528213500976562,0
230337918,0.09439750015735626,0.15884532034397125,-23.523601531982422,0
230347796,0.09327061474323273,0.1540931612253189,-23.52138900756836,0
230357590,0.09164796024560928,0.15385860204696655,-23.528764724731445,0
230367899,0.09025216102600098,0.15807987749576569,-23.531721115112305,0
230377630,0.0910491943359375,0.1608055830001831,-23.530502319335938,0
230387939,0.09398332238197327,0.1553824096918106,-23.522642135620117,0
230397591,0.09666244685649872,0.15553559362888336,-23.513408660888672,0
230407722,0.09332819283008575,0.1614733189344406,-23.522375106811523,0
230418438,0.09085382521152496,0.16536784172058105,-23.530363082885742,0
230427800,0.09427253901958466,0.15987533330917358,-23.524538040161133,0
230437887,0.09016092121601105,0.15691469609737396,-23.525854110717773,0
230447751,0.09631799906492233,0.15664507448673248,-23.523534774780273,0
230457638,0.09521429240703583,0.1578143835067749,-23.52025604248047,0
230467935,0.09204361587762833,0.1580856591463089,-23.52405548095703,0
230477605,0.09369189292192459,0.1552770584821701,-23.523008346557617,0
230488125,0.09391666948795319,0.15055443346500397,-23.525489807128906,0
