Time_s,PLX,PLY,PLZ,EstFreq_Hz,SW,RealSW,DX,DY,VX,VY,CX,CY,PRX,PRY,RealFreq_Hz,RealPhase
0.0000,-0.2881,0.3246,4.1769,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.0101,-0.5621,0.6192,4.1437,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.0203,-0.0878,0.3586,4.4197,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.0303,0.1056,0.4378,4.6171,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.0400,-0.2167,0.7617,4.3857,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.0500,-0.1569,0.4873,4.4654,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.0600,0.3064,0.1023,4.5101,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.0703,-0.0486,0.3968,4.3730,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.0803,-0.2216,0.7260,4.3209,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.0900,-0.1474,0.3923,4.4144,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.1000,0.0385,-0.0438,4.5549,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.1101,0.0381,0.2281,4.5657,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
0.1209,-0.1442,0.3208,4.4860,0.6000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,-10015496.0000
