log,window,energy_on,energy_off,q_w,mean_hz,std_hz,mae_hz,final_hz
00000443,00000443_w35_100,0.2,0.16000000000000003,1e-9,0.4551346072684643,0.0004083455215723633,0.005134607268464247,0.4554
00000443,00000443_w35_100,0.25,0.2,1e-9,0.45763205158264936,0.0003018071978565666,0.00763205158264945,0.4578
00000443,00000443_w35_100,0.3,0.24,1e-9,0.3854364595545135,0.01658404196683143,0.06456354044548651,0.3934
00000443,00000443_w35_100,0.35,0.27999999999999997,1e-9,0.45667978898007033,0.0002731938707077347,0.0066797889800703164,0.4568
00000443,00000443_w40_110,0.2,0.16000000000000003,1e-9,0.4537760113960113,0.0004303182945541232,0.003776011396011397,0.454
00000443,00000443_w40_110,0.25,0.2,1e-9,0.46161283950617293,0.0002128056371410229,0.011612839506172827,0.4617
00000443,00000443_w40_110,0.3,0.24,1e-9,0.42559432098765443,0.0004921299324124037,0.02440567901234568,0.4258
00000443,00000443_w40_110,0.35,0.27999999999999997,1e-9,0.4637823741690408,0.00016681151704768575,0.01378237416904082,0.4638
00000444,00000444_w35_100,0.2,0.16000000000000003,1e-9,0.4573947099598686,0.00011060724962451165,0.007394709959868631,0.4574
00000444,00000444_w35_100,0.25,0.2,1e-9,0.4570017511856986,0.00011139327622362257,0.0070017511856986505,0.457
00000444,00000444_w35_100,0.3,0.24,1e-9,0.45903692083181313,0.00011703439317829354,0.009036920831813207,0.459
00000444,00000444_w35_100,0.35,0.27999999999999997,1e-9,0.35000000000000003,5.551115123125783e-17,0.10000000000000005,0.35
00000444,00000444_w40_110,0.2,0.16000000000000003,1e-9,0.4574968724939854,9.459237126385374e-05,0.007496872493985566,0.4575
00000444,00000444_w40_110,0.25,0.2,1e-9,0.45690336808340015,9.602854503714779e-05,0.00690336808340013,0.4569
00000444,00000444_w40_110,0.3,0.24,1e-9,0.4582446939321037,0.00010674546159833102,0.008244693932103697,0.4582
00000444,00000444_w40_110,0.35,0.27999999999999997,1e-9,0.45820924886394004,9.502456710113763e-05,0.008209248863940108,0.4582
