Time_s,PLX,PLY,PLZ,SW,BandProxyX,BandProxyY,RMS_X,RMS_Y,Trust_X,Trust_Y
0.0,-1.6220368146896362,0.4481575787067413,3.56108021736145,0,-4.884981308350689e-14,1.3489209749195652e-14,4.884981308350689e-14,1.3489209749195652e-14,0,0
0.010057000000003313,-1.0749675035476685,0.2610047459602356,3.769169569015503,0,0.0003002581926283554,-0.00010271855898874582,2.12651455520444e-05,7.2748226740163826e-06,0,0
0.019898999999995226,-1.3985719680786133,0.5624722242355347,3.533466100692749,0,0.0013007153011199701,-0.00034027618350579436,9.356911561279401e-05,2.492098987492981e-05,0,0
0.030506000000002587,-1.5756288766860962,0.6806410551071167,3.521260976791382,0,0.002794782158092257,-0.0004089953403151325,0.00022366008136769045,3.876308677042496e-05,0,0
0.039901999999997884,-1.5334855318069458,0.0110571095719933,3.5534780025482178,0,0.004392883764668953,-0.00039340688469774454,0.00037448105592508094,4.712678327589276e-05,0,0
0.04999999999999716,-1.80888032913208,-0.0743793249130249,3.4512479305267334,0,0.00588051841471926,-0.0010167824528952152,0.0005600773993423983,8.611901222649695e-05,0,0
0.05997200000000191,-1.777027249336243,0.3794833123683929,3.401449680328369,0,0.006999628258397506,-0.00244246881468263,0.0007455243768821814,0.00019248459038800526,0,0
0.0703060000000022,-2.010021686553955,0.0439720414578914,3.266965627670288,0,0.007529810982910945,-0.004340067381438328,0.0009193179185350176,0.0003659712131479642,0,0
0.08029500000000667,-1.6811317205429075,-0.1313137114048004,3.324249029159546,0,0.007454886254929738,-0.0068846082366143535,0.0010572671608990107,0.0006077877394142551,0,0
0.09003699999999526,-1.8152204751968384,0.1097166389226913,3.405738353729248,0,0.006978952263302363,-0.010265170750868358,0.0011614866211379412,0.0009378903568823399,0,0
0.09997800000000723,-1.931659698486328,0.3494369387626648,3.257418155670166,0,0.006102151391298882,-0.014110194600732151,0.0012357127182926263,0.001364711008594483,0,0
0.11014699999999777,-1.6859790086746216,0.1233683079481124,3.5257790088653564,0,0.004789826946110409,-0.01810258452410285,0.001278904398434773,0.001874825498033574,0,0
0.12077100000000485,-1.7637866735458374,0.0280838385224342,3.547762632369995,0,0.0032408142431095133,-0.02238827475738947,0.0012971409214173808,0.0024802920957307396,0,0
0.13024599999999964,-1.7034077644348145,0.2500450611114502,3.464006900787353,0,0.0015595549898941297,-0.027039479783995624,0.0012985059018384417,0.0030948871415026513,0,0
0.1399499999999989,-1.5851802825927734,0.3428507149219513,3.6717681884765625,0,-0.0001508746477927314,-0.03177279442186387,0.0012954020723742366,0.0037971365549360017,0,0
0.15002599999999688,-1.711767315864563,0.3330401480197906,3.4705381393432617,0,-0.001789878584211646,-0.03634927995550441,0.001298357873420947,0.004581005222427921,0,0
0.15997900000000698,-1.581949234008789,0.3406030535697937,3.52852725982666,0,-0.0033606869850204557,-0.040721916583197515,0.001316598270066005,0.0053956775639423995,0,0
0.170377000000002,-0.8846554160118103,0.3201754987239837,3.873995065689087,0,-0.004407911685208932,-0.04490025245302098,0.0013509978105274636,0.006278258010662315,0,0
0.18086999999999875,-0.9829735159873962,0.1047800406813621,3.7371222972869873,0,-0.004184189703414276,-0.04902180437206605,0.0013810345919887583,0.0071962010763806285,0,0
0.1900320000000022,-1.0338908433914185,-0.0519238412380218,3.889559268951416,0,-0.0025367131768234685,-0.05341121282695327,0.0013885065021950966,0.008036617390829032,0,0
0.19999599999999873,-1.024133801460266,-0.1406461298465728,3.896756649017334,0,0.0003205387754672273,-0.05837362847176186,0.0013852363508999003,0.00901110960859561,0,0
0.21008399999999483,-1.456169843673706,-0.2627425193786621,3.708473920822144,0,0.004035850374796146,-0.06410144709284138,0.0014110901998917495,0.010072990870335143,0,0
0.22020600000000456,-1.1782735586166382,-0.3111445307731628,3.795313835144043,0,0.008218761692328824,-0.07072941319889503,0.001523850615748777,0.011234205714829686,0,0
0.23032000000000608,-1.31732439994812,-0.227298155426979,3.808104515075684,0,0.012814034000152352,-0.07824440630707385,0.0017716286464764643,0.012508097709980764,0,0
0.2399910000000034,-1.2904192209243774,0.0043604937382042,3.773651838302612,0,0.017792229465392273,-0.08636475078013106,0.0021565192173822914,0.01384478651393311,0,0
0.2500530000000083,-1.1394541263580322,0.0804594531655311,3.9719021320343018,0,0.023146261606703522,-0.09467805887746772,0.0027047778840053553,0.015352540701414317,0,0
0.25991399999999487,-1.4484877586364746,0.1707868874073028,3.813050985336304,0,0.028843140106010523,-0.10288332726406613,0.0033721745001733176,0.016929324724649916,0,0
0.2702680000000015,-1.1030699014663696,0.2267553955316543,3.967564344406128,0,0.03477351421615493,-0.11079042755552254,0.004190069291493795,0.018668238045680578,0,0
0.2802170000000075,-0.9066659212112428,0.2257424592971801,4.143802642822266,0,0.04121939059281421,-0.11828507907019853,0.005089247495368385,0.020401004432287467,0,0
0.2900810000000007,-1.056959629058838,0.5100101828575134,3.944901466369629,0,0.04844572097561817,-0.12518726411918607,0.006108998272220875,0.022164309348576147,0,0
0.2999810000000025,-0.9916132092475892,0.3107315897941589,4.136565208435059,0,0.05635152109922026,-0.13131528698813089,0.007267423088091558,0.02395780303441281,0,0
0.3100809999999967,-0.9976189732551576,0.1505123674869537,4.30618143081665,0,0.06484832136920304,-0.13685570348976178,0.008586771752427037,0.025795940022664107,0,0
0.32077599999999507,-1.620927095413208,0.2316430062055587,4.043373107910156,0,0.07355345591495221,-0.14207298702510768,0.010109043903238418,0.02774042911126419,0,0
0.33032099999999787,-1.6661672592163086,-0.0184031296521425,4.257699489593506,0,0.08171208608320901,-0.14710837415061317,0.011554031159611181,0.02947715345012342,0,0
0.3399480000000068,-1.3649590015411377,-0.0392805151641368,4.330723762512207,0,0.08911217850983344,-0.1521984037574931,0.013076186746923528,0.031240420211896536,0,0
