log,q_w,mean_hz,std_hz,mae_hz,p95_step_hz
00000443_w35_100,1e-9,0.5404099648300117,0.009546616010686926,0.09040996483001171,0.0018000000000000238
00000443_w35_100,1e-7,0.540410855803048,0.009546292804099337,0.09041085580304806,0.0018000000000000238
00000443_w35_100,1e-5,0.5404348651817116,0.009540976544495913,0.09043486518171161,0.0018000000000000238
00000443_w35_100,1e-4,0.5405134818288394,0.009595509583773853,0.09051348182883938,0.0020000000000000018
00000443_w35_100,1e-3,0.5387020398593201,0.012044623870672946,0.08870203985932004,0.0041999999999999815
00000443_w35_100,1e-2,0.5435502227432591,0.03119347243725271,0.09355022274325907,0.014800000000000035
00000443_w40_110,1e-9,0.5490156125356125,0.007201750297035402,0.09901561253561253,0.0015000000000000568
00000443_w40_110,1e-7,0.5490124786324786,0.007203012851667094,0.09901247863247861,0.0015000000000000568
00000443_w40_110,1e-5,0.5487225830959165,0.007323143203300652,0.09872258309591642,0.0015000000000000568
00000443_w40_110,1e-4,0.5466706172839506,0.008264646896142381,0.0966706172839506,0.0017000000000000348
00000443_w40_110,1e-3,0.5425244634377968,0.015387894312698137,0.09252446343779676,0.0040000000000000036
00000443_w40_110,1e-2,0.561408433048433,0.050732575713000584,0.11140843304843304,0.014800000000000035
