log,q_w,mean_hz,std_hz,mae_hz,p95_step_hz,max_step_hz,hf_ratio,final_hz,final_err_hz,settle_time_s,score
00000443,1e-09,0.5366835069444446,0.02506398197234283,0.08926311553030304,0.0,0.21239999999999998,0.00028306377785677585,0.4151,0.03489999999999999,,1000000000.9427592
00000443,1e-08,0.5366835069444446,0.02506398197234283,0.08926311553030304,0.0,0.21239999999999998,0.00028306377785677585,0.4151,0.03489999999999999,,1000000000.9427592
00000443,1e-07,0.5366835069444446,0.02506398197234283,0.08926311553030304,0.0,0.21239999999999998,0.00028306377785677585,0.4151,0.03489999999999999,,1000000000.9427592
00000443,1e-06,0.5366835227272728,0.0250639053164427,0.08926309974747478,0.0,0.21239999999999998,0.0002830560009649834,0.4151,0.03489999999999999,,1000000000.9427589
00000443,1e-05,0.536703061868687,0.024952855739661422,0.0892373421717172,0.0,0.21259999999999996,0.00028651240014276094,0.4158,0.03420000000000001,,1000000000.9422791
00000443,0.0001,0.5369824968434345,0.023623654592990137,0.08896302083333335,0.0,0.21389999999999998,0.0003393437572455901,0.4243,0.0257,,1000000000.9368775
00000443,0.001,0.5395291666666668,0.013103644302350592,0.08977143308080811,0.0,0.21650000000000003,0.008724337137799788,0.5017,0.051700000000000024,,1000000000.9239217
00000443,0.01,0.5438695075757574,0.017574508273217687,0.09399592803030302,0.0,0.1997,0.0007831007886304122,0.6214,0.17139999999999994,,1000000000.9751083
00000444,1e-09,0.5120712057258212,0.011719445751893742,0.062071205725821296,0.0,0.11580000000000001,0.0023852138833135752,0.5116,0.061600000000000044,,1000000000.644151
00000444,1e-08,0.5120712057258212,0.011719445751893742,0.062071205725821296,0.0,0.11580000000000001,0.0023852138833135752,0.5116,0.061600000000000044,,1000000000.644151
00000444,1e-07,0.5120712057258212,0.011719445751893742,0.062071205725821296,0.0,0.11580000000000001,0.0023852138833135752,0.5116,0.061600000000000044,,1000000000.644151
00000444,1e-06,0.5120712057258212,0.011719445751893742,0.062071205725821296,0.0,0.11580000000000001,0.0023852138833135752,0.5116,0.061600000000000044,,1000000000.644151
00000444,1e-05,0.5121692787667464,0.011708361498938457,0.06216927876674624,0.0,0.11580000000000001,0.0024052867154718497,0.5117,0.06170000000000003,,1000000000.6451095
00000444,0.0001,0.5120709671499357,0.01171986803875646,0.062070967149935805,0.0,0.1159,0.002392201821490649,0.5116,0.061600000000000044,,1000000000.6441494
00000444,0.001,0.5115972472013214,0.01174108595549015,0.06159724720132132,0.0,0.11580000000000001,0.0022164353122923345,0.5111,0.06109999999999999,,1000000000.6394547
00000444,0.01,0.5070165902000365,0.012050812316625524,0.05701659020003667,0.0,0.11639999999999995,0.001442883297712925,0.5063,0.05629999999999996,,1000000000.5942675
