name,corr_plx_prx,rmse_plx_prx,diff_ratio,lag_s,dx_max_abs,freq_mae_est_real,freq_mae_est_target,est_mean,real_mean
baseline,0.5058415314705597,0.9203319854840983,0.03327642852786797,-4.22999999999991,1.7571,0.2271788711099912,0.040853067909789584,0.49069416656167314,0.7164557515434044
proposal_q1e-2_r46,0.5534013085729127,0.8886314029520117,0.04230925709769497,-0.019999999999999574,2.0752,0.22755858636764523,0.04714670530427112,0.4916817185334509,0.7164557515434044
proposal_q1e-2_r46_w072,0.5597221943039195,0.8841147836103992,0.04300009970630706,-0.019999999999999574,2.077,0.25568626685145524,0.0774930578304145,0.5216701776489857,0.7164557515434044
