threshold,frac_x_above,frac_y_above,file,global_plx_mean_amp
0.01,1.0,1.0,00000443_w35_100_extracted.csv,0.7246465432812471
0.02,0.9682539682539683,1.0,00000443_w35_100_extracted.csv,0.7246465432812471
0.03,0.9365079365079365,1.0,00000443_w35_100_extracted.csv,0.7246465432812471
0.04,0.9047619047619048,1.0,00000443_w35_100_extracted.csv,0.7246465432812471
0.05,0.9047619047619048,0.9682539682539683,00000443_w35_100_extracted.csv,0.7246465432812471
0.075,0.873015873015873,0.8571428571428571,00000443_w35_100_extracted.csv,0.7246465432812471
0.1,0.8412698412698413,0.6666666666666666,00000443_w35_100_extracted.csv,0.7246465432812471
0.15,0.7619047619047619,0.3968253968253968,00000443_w35_100_extracted.csv,0.7246465432812471
0.2,0.6984126984126984,0.09523809523809523,00000443_w35_100_extracted.csv,0.7246465432812471
0.036232327164062356,0.9206349206349206,1.0,00000443_w35_100_extracted.csv,0.7246465432812471
0.07246465432812471,0.873015873015873,0.8571428571428571,00000443_w35_100_extracted.csv,0.7246465432812471
0.10869698149218707,0.8412698412698413,0.6507936507936508,00000443_w35_100_extracted.csv,0.7246465432812471
0.14492930865624942,0.7777777777777778,0.4126984126984127,00000443_w35_100_extracted.csv,0.7246465432812471
0.21739396298437413,0.6666666666666666,0.07936507936507936,00000443_w35_100_extracted.csv,0.7246465432812471
0.01,1.0,0.9852941176470589,00000443_w40_110_extracted.csv,0.6320601670897963
0.02,0.9705882352941176,0.9852941176470589,00000443_w40_110_extracted.csv,0.6320601670897963
0.03,0.9117647058823529,0.9705882352941176,00000443_w40_110_extracted.csv,0.6320601670897963
0.04,0.8676470588235294,0.9705882352941176,00000443_w40_110_extracted.csv,0.6320601670897963
0.05,0.8235294117647058,0.9264705882352942,00000443_w40_110_extracted.csv,0.6320601670897963
0.075,0.7647058823529411,0.8235294117647058,00000443_w40_110_extracted.csv,0.6320601670897963
0.1,0.7205882352941176,0.6176470588235294,00000443_w40_110_extracted.csv,0.6320601670897963
0.15,0.6323529411764706,0.36764705882352944,00000443_w40_110_extracted.csv,0.6320601670897963
0.2,0.5735294117647058,0.08823529411764706,00000443_w40_110_extracted.csv,0.6320601670897963
0.031603008354489814,0.9117647058823529,0.9705882352941176,00000443_w40_110_extracted.csv,0.6320601670897963
0.06320601670897963,0.7794117647058824,0.8676470588235294,00000443_w40_110_extracted.csv,0.6320601670897963
0.09480902506346944,0.7352941176470589,0.6764705882352942,00000443_w40_110_extracted.csv,0.6320601670897963
0.12641203341795926,0.6764705882352942,0.47058823529411764,00000443_w40_110_extracted.csv,0.6320601670897963
0.1896180501269389,0.5882352941176471,0.16176470588235295,00000443_w40_110_extracted.csv,0.6320601670897963
0.01,1.0,1.0,00000444_w35_100_extracted.csv,1.0642377306664732
0.02,1.0,0.984375,00000444_w35_100_extracted.csv,1.0642377306664732
0.03,1.0,0.984375,00000444_w35_100_extracted.csv,1.0642377306664732
0.04,1.0,0.9375,00000444_w35_100_extracted.csv,1.0642377306664732
0.05,1.0,0.828125,00000444_w35_100_extracted.csv,1.0642377306664732
0.075,1.0,0.5625,00000444_w35_100_extracted.csv,1.0642377306664732
0.1,0.984375,0.328125,00000444_w35_100_extracted.csv,1.0642377306664732
0.15,0.96875,0.171875,00000444_w35_100_extracted.csv,1.0642377306664732
0.2,0.875,0.03125,00000444_w35_100_extracted.csv,1.0642377306664732
0.05321188653332366,1.0,0.796875,00000444_w35_100_extracted.csv,1.0642377306664732
0.10642377306664733,0.984375,0.3125,00000444_w35_100_extracted.csv,1.0642377306664732
0.15963565959997097,0.953125,0.109375,00000444_w35_100_extracted.csv,1.0642377306664732
0.21284754613329465,0.875,0.03125,00000444_w35_100_extracted.csv,1.0642377306664732
0.31927131919994195,0.734375,0.0,00000444_w35_100_extracted.csv,1.0642377306664732
0.01,1.0,1.0,00000444_w40_110_extracted.csv,0.9868316977609475
0.02,1.0,0.9855072463768116,00000444_w40_110_extracted.csv,0.9868316977609475
0.03,1.0,0.9855072463768116,00000444_w40_110_extracted.csv,0.9868316977609475
0.04,0.9855072463768116,0.927536231884058,00000444_w40_110_extracted.csv,0.9868316977609475
0.05,0.9855072463768116,0.8260869565217391,00000444_w40_110_extracted.csv,0.9868316977609475
0.075,0.9710144927536232,0.5072463768115942,00000444_w40_110_extracted.csv,0.9868316977609475
0.1,0.9420289855072463,0.2463768115942029,00000444_w40_110_extracted.csv,0.9868316977609475
0.15,0.9130434782608695,0.13043478260869565,00000444_w40_110_extracted.csv,0.9868316977609475
0.2,0.7536231884057971,0.028985507246376812,00000444_w40_110_extracted.csv,0.9868316977609475
0.04934158488804738,0.9855072463768116,0.8260869565217391,00000444_w40_110_extracted.csv,0.9868316977609475
0.09868316977609476,0.9420289855072463,0.2463768115942029,00000444_w40_110_extracted.csv,0.9868316977609475
0.1480247546641421,0.9130434782608695,0.13043478260869565,00000444_w40_110_extracted.csv,0.9868316977609475
0.19736633955218952,0.7536231884057971,0.028985507246376812,00000444_w40_110_extracted.csv,0.9868316977609475
0.2960495093282842,0.6521739130434783,0.0,00000444_w40_110_extracted.csv,0.9868316977609475
