TimeUS,PLX,PLY,PLZ,SW,F,P
220477674,-0.046465273946523666,0.017855608835816383,4.824393272399902,0,0.6000000238418579,-10383708.0
220488323,-0.044547613710165024,0.25562819838523865,4.761887073516846,0,0.6000000238418579,-10383708.0
220498029,-0.40236714482307434,0.3861379623413086,4.589635848999023,0,0.6000000238418579,-10383708.0
220507641,-0.23146145045757294,0.1194547638297081,4.617603778839111,0,0.6000000238418579,-10383708.0
220517717,0.06098939850926399,0.26276758313179016,4.810948371887207,0,0.6000000238418579,-10383708.0
220527624,-0.14657337963581085,0.4572877883911133,4.582762241363525,0,0.6000000238418579,-10383708.0
220537923,-0.22274447977542877,0.5417242050170898,4.6620330810546875,0,0.6000000238418579,-10383708.0
220547920,0.038957878947257996,0.6667488813400269,4.780571937561035,0,0.6000000238418579,-10383708.0
220557671,-0.14697185158729553,0.46963486075401306,4.788139343261719,0,0.6000000238418579,-10383708.0
220567556,-0.2542104125022888,0.5905510783195496,4.827178001403809,0,0.6000000238418579,-10383708.0
220577649,-0.2515943944454193,0.844494640827179,4.937619686126709,0,0.6000000238418579,-10383708.0
220587913,-0.11497512459754944,0.33003437519073486,4.997495651245117,0,0.6000000238418579,-10383708.0
220597976,-0.05111464858055115,0.16714119911193848,5.106168270111084,0,0.6000000238418579,-10383708.0
220607640,-0.15978243947029114,0.62945157289505,5.015113830566406,0,0.6000000238418579,-10383708.0
220617725,-0.18630439043045044,0.3660338222980499,4.964047431945801,0,0.6000000238418579,-10383708.0
220627666,-0.1241895779967308,0.002809452125802636,4.8893866539001465,0,0.6000000238418579,-10383708.0
220637901,-0.3231632113456726,0.3983931243419647,4.864264488220215,0,0.6000000238418579,-10383708.0
220647834,-0.5804705619812012,0.37166455388069153,4.758836269378662,0,0.6000000238418579,-10383708.0
220657656,-0.24063077569007874,0.17646098136901855,5.061399459838867,0,0.6000000238418579,-10383708.0
220667659,-0.14068463444709778,0.45900681614875793,5.216175079345703,0,0.6000000238418579,-10383708.0
220677664,-0.42758846282958984,0.6923535466194153,5.03234338760376,0,0.6000000238418579,-10383708.0
220688309,-0.1273912787437439,0.6053223609924316,5.090014934539795,0,0.6000000238418579,-10383708.0
220698046,-0.08535757660865784,0.7192283868789673,5.01064395904541,0,0.6000000238418579,-10383708.0
220707664,-0.4915580153465271,0.741280734539032,4.847275733947754,0,0.6000000238418579,-10383708.0
220717726,-0.27432218194007874,0.3636692464351654,5.123154640197754,0,0.6000000238418579,-10383708.0
220727649,-0.2613558769226074,0.08566069602966309,5.169684886932373,0,0.6000000238418579,-10383708.0
220737927,-0.2475682646036148,0.23349140584468842,5.153774738311768,0,0.6000000238418579,-10383708.0
220747959,-0.21600507199764252,0.20881511270999908,5.235010147094727,0,0.6000000238418579,-10383708.0
220757661,-0.33271723985671997,0.21055446565151215,5.0226359367370605,0,0.6000000238418579,-10383708.0
220767648,-0.40962857007980347,0.15001915395259857,4.962815284729004,0,0.6000000238418579,-10383708.0
220777655,-0.5981446504592896,0.15042845904827118,5.014952182769775,0,0.6000000238418579,-10383708.0
220787945,-0.8292793035507202,0.2970247268676758,4.999009609222412,0,0.6000000238418579,-10383708.0
220797997,-0.5480865836143494,0.35183635354042053,5.277652740478516,0,0.6000000238418579,-10383708.0
220807648,-0.5501419901847839,0.3844139873981476,5.234595775604248,0,0.6000000238418579,-10383708.0
220817738,-0.6014081835746765,0.7195927500724792,5.087794303894043,0,0.6000000238418579,-10383708.0
220827572,-0.2537803053855896,0.7038994431495667,5.109226226806641,0,0.6000000238418579,-10383708.0
220837920,-0.33814018964767456,0.22013850510120392,5.034852027893066,0,0.6000000238418579,-10383708.0
220847881,-0.559463620185852,0.3789783716201782,5.118850231170654,0,0.6000000238418579,-10383708.0
220857651,-0.5028367638587952,0.5454290509223938,5.260378837585449,0,0.6000000238418579,-10383708.0
220867631,-0.5782985091209412,0.05217475816607475,5.188289642333984,0,0.6000000238418579,-10383708.0
220877676,-0.4253341555595398,0.012292732484638691,5.1941447257995605,0,0.6000000238418579,-10383708.0
220888323,-0.579671323299408,0.3460206091403961,5.052241802215576,0,0.6000000238418579,-10383708.0
220897997,-0.7068180441856384,0.21728798747062683,4.895533084869385,0,0.6000000238418579,-10383708.0
220907643,-0.3859006464481354,-0.04063848406076431,5.1330389976501465,0,0.6000000238418579,-10383708.0
220917710,-0.6882364153862,0.2046760618686676,5.150106430053711,0,0.6000000238418579,-10383708.0
220927667,-0.9900608062744141,0.5351409316062927,5.072046279907227,0,0.6000000238418579,-10383708.0
220937937,-0.5549293160438538,0.19161930680274963,5.258670806884766,0,0.6000000238418579,-10383708.0
220947951,-0.4631994366645813,0.1989315003156662,5.1025519371032715,0,0.6000000238418579,-10383692.0
220957667,-0.6940199732780457,0.24913626909255981,4.8064446449279785,0,0.6000000238418579,-10383692.0
220967620,-0.489701509475708,0.06502082198858261,4.891036033630371,0,0.6000000238418579,-10383692.0
220977697,-0.4971849322319031,-0.003913371358066797,4.934447765350342,0,0.6000000238418579,-10383692.0
220987941,-0.651512086391449,-0.06740003079175949,5.013964653015137,0,0.6000000238418579,-10383692.0
220997968,-0.6463267803192139,-0.049730829894542694,5.177104949951172,0,0.6000000238418579,-10383692.0
221007667,-0.8749393224716187,0.1403786689043045,4.961312770843506,0,0.6000000238418579,-10383692.0
221017672,-0.6837186813354492,-0.27522677183151245,4.835477828979492,0,0.6000000238418579,-10383692.0
221027632,-0.5402973294258118,-0.4122132956981659,4.8501362800598145,0,0.6000000238418579,-10383692.0
