log,method,score,mean_hz,std_hz,mae_hz,p95_step_hz,max_step_hz,hf_ratio
00000443,ekf_single,0.04629351891541411,0.587158648989899,0.03772032172989905,0.1373049558080808,0.0013299999999999694,0.20290000000000008,0.04074529944507031
00000443,single_peak_fused,0.031960259591703996,0.5159777695335447,0.0712619799122597,0.07929167868163282,0.0010465579959881843,0.00328327195541267,3.0379495593983832e-05
00000443,dual_long_raw,0.022412569984359042,0.4732126005388845,0.06038646506961655,0.048504174959218216,0.0018226709896319235,0.011868819897854155,0.0005606464842680631
00000443,dual_long_ewma,0.022078323587657434,0.4733611144170517,0.05996034493894543,0.048301575644412204,0.0015918164004392287,0.003618173665556834,0.00027131041348254554
00000443,dual_long_reliability_hold,0.022115337954880937,0.47338030445649354,0.06015662017010354,0.04839638543134122,0.0015807603084682196,0.007950628811722038,0.000323130954064083
00000444,ekf_single,0.048817150576618784,0.6037311800330336,0.018977965667087357,0.15373118003303357,0.0007999999999999841,0.08050000000000002,0.19849207563147198
00000444,single_peak_fused,0.035954972833797436,0.4871735219006302,0.09406499062627079,0.08549954664621709,0.0008986097773052315,0.0025493181616250693,1.2417127372826157e-05
00000444,dual_long_raw,0.013606634352403042,0.46451386329522504,0.03560302596726294,0.031664011404354424,0.0005471283343704218,0.0018451622369179965,0.00010145601019310419
00000444,dual_long_ewma,0.013592938226300817,0.4644783371230166,0.035592957718330605,0.031661677540053064,0.0005351391924518361,0.0014683277501965075,4.970316226816302e-05
00000444,dual_long_reliability_hold,0.013594778992280213,0.46448524846559963,0.0355991703544206,0.031665804444091436,0.0005351206236107214,0.0015107397650664378,5.902376142749925e-05
