Time_s,SW,EKF_Single_Hz,SingleFused_Hz,DualLongFusedRaw_Hz,DualLongEWMA_Hz,DualLongReliabilityHold_Hz,X_Single_Hz,Y_Single_Hz,Z_Single_Hz,X_DualLong_Hz,Y_DualLong_Hz,Z_DualLong_Hz,X_DualShort_Hz,Y_DualShort_Hz,Z_DualShort_Hz,X_LongAmp,Y_LongAmp,Z_LongAmp,X_ShortAmp,Y_ShortAmp,Z_ShortAmp
0.0,0,0.6,0.8333333333333334,0.5783494705340386,0.5783494705340386,0.5783494705340386,1.0833333333333333,1.1666666666666665,0.25,0.41666666666666663,0.5833333333333333,0.5833333333333333,1.0833333333333333,0.8333333333333333,0.9166666666666666,0.0006747564509091687,0.0034246778383526526,0.01846527365189107,0.0031327931268963732,0.001624580343387025,0.01114165903858017
0.0101,0,0.6,0.8333333333333334,0.5783494705340386,0.5783494705340386,0.5783494705340386,1.0833333333333333,1.1666666666666665,0.25,0.41666666666666663,0.5833333333333333,0.5833333333333333,1.0833333333333333,0.8333333333333333,0.9166666666666666,0.0006747564509091687,0.0034246778383526526,0.01846527365189107,0.0031327931268963732,0.001624580343387025,0.01114165903858017
0.0207,0,0.6,0.8333333333333334,0.5783494705340386,0.5783494705340386,0.5783494705340386,1.0833333333333333,1.1666666666666665,0.25,0.41666666666666663,0.5833333333333333,0.5833333333333333,1.0833333333333333,0.8333333333333333,0.9166666666666666,0.0006747564509091687,0.0034246778383526526,0.01846527365189107,0.0031327931268963732,0.001624580343387025,0.01114165903858017
0.03,0,0.6,0.8333333333333334,0.5783494705340386,0.5783494705340386,0.5783494705340386,1.0833333333333333,1.1666666666666665,0.25,0.41666666666666663,0.5833333333333333,0.5833333333333333,1.0833333333333333,0.8333333333333333,0.9166666666666666,0.0006747564509091687,0.0034246778383526526,0.01846527365189107,0.0031327931268963732,0.001624580343387025,0.01114165903858017
0.0402,0,0.6,0.8333333333333334,0.5783494705340386,0.5783494705340386,0.5783494705340386,1.0833333333333333,1.1666666666666665,0.25,0.41666666666666663,0.5833333333333333,0.5833333333333333,1.0833333333333333,0.8333333333333333,0.9166666666666666,0.0006747564509091687,0.0034246778383526526,0.01846527365189107,0.0031327931268963732,0.001624580343387025,0.01114165903858017
0.05,0,0.6,0.8333333333333334,0.5783494705340386,0.5783494705340386,0.5783494705340386,1.0833333333333333,1.1666666666666665,0.25,0.41666666666666663,0.5833333333333333,0.5833333333333333,1.0833333333333333,0.8333333333333333,0.9166666666666666,0.0006747564509091687,0.0034246778383526526,0.01846527365189107,0.0031327931268963732,0.001624580343387025,0.01114165903858017
0.0599,0,0.6,0.8333333333333334,0.5783494705340386,0.5783494705340386,0.5783494705340386,1.0833333333333333,1.1666666666666665,0.25,0.41666666666666663,0.5833333333333333,0.5833333333333333,1.0833333333333333,0.8333333333333333,0.9166666666666666,0.0006747564509091687,0.0034246778383526526,0.01846527365189107,0.0031327931268963732,0.001624580343387025,0.01114165903858017
0.0703,0,0.6,0.8333333333333334,0.5783494705340386,0.5783494705340386,0.5783494705340386,1.0833333333333333,1.1666666666666665,0.25,0.41666666666666663,0.5833333333333333,0.5833333333333333,1.0833333333333333,0.8333333333333333,0.9166666666666666,0.0006747564509091687,0.0034246778383526526,0.01846527365189107,0.0031327931268963732,0.001624580343387025,0.01114165903858017
0.08,0,0.6,0.8333333333333334,0.5783494705340386,0.5783494705340386,0.5783494705340386,1.0833333333333333,1.1666666666666665,0.25,0.41666666666666663,0.5833333333333333,0.5833333333333333,1.0833333333333333,0.8333333333333333,0.9166666666666666,0.0006747564509091687,0.0034246778383526526,0.01846527365189107,0.0031327931268963732,0.001624580343387025,0.01114165903858017
0.0902,0,0.6,0.8333333333333334,0.5783494705340386,0.5783494705340386,0.5783494705340386,1.0833333333333333,1.1666666666666665,0.25,0.41666666666666663,0.5833333333333333,0.5833333333333333,1.0833333333333333,0.8333333333333333,0.9166666666666666,0.0006747564509091687,0.0034246778383526526,0.01846527365189107,0.0031327931268963732,0.001624580343387025,0.01114165903858017
0.1001,0,0.6,0.8333333333333334,0.5783494705340386,0.5783494705340386,0.5783494705340386,1.0833333333333333,1.1666666666666665,0.25,0.41666666666666663,0.5833333333333333,0.5833333333333333,1.0833333333333333,0.8333333333333333,0.9166666666666666,0.0006747564509091687,0.0034246778383526526,0.01846527365189107,0.0031327931268963732,0.001624580343387025,0.01114165903858017
0.1101,0,0.6,0.8333333333333334,0.5783494705340386,0.5783494705340386,0.5783494705340386,1.0833333333333333,1.1666666666666665,0.25,0.41666666666666663,0.5833333333333333,0.5833333333333333,1.0833333333333333,0.8333333333333333,0.9166666666666666,0.0006747564509091687,0.0034246778383526526,0.01846527365189107,0.0031327931268963732,0.001624580343387025,0.01114165903858017
0.1208,0,0.6,0.8333333333333334,0.5783494705340386,0.5783494705340386,0.5783494705340386,1.0833333333333333,1.1666666666666665,0.25,0.41666666666666663,0.5833333333333333,0.5833333333333333,1.0833333333333333,0.8333333333333333,0.9166666666666666,0.0006747564509091687,0.0034246778383526526,0.01846527365189107,0.0031327931268963732,0.001624580343387025,0.01114165903858017
0.13,0,0.6,0.8333333333333334,0.5783494705340386,0.5783494705340386,0.5783494705340386,1.0833333333333333,1.1666666666666665,0.25,0.41666666666666663,0.5833333333333333,0.5833333333333333,1.0833333333333333,0.8333333333333333,0.9166666666666666,0.0006747564509091687,0.0034246778383526526,0.01846527365189107,0.0031327931268963732,0.001624580343387025,0.01114165903858017
0.1403,0,0.6,0.8333333333333334,0.5783494705340386,0.5783494705340386,0.5783494705340386,1.0833333333333333,1.1666666666666665,0.25,0.41666666666666663,0.5833333333333333,0.5833333333333333,1.0833333333333333,0.8333333333333333,0.9166666666666666,0.0006747564509091687,0.0034246778383526526,0.01846527365189107,0.0031327931268963732,0.001624580343387025,0.01114165903858017
0.15,0,0.6,0.8333333333333334,0.5783494705340386,0.5783494705340386,0.5783494705340386,1.0833333333333333,1.1666666666666665,0.25,0.41666666666666663,0.5833333333333333,0.5833333333333333,1.0833333333333333,0.8333333333333333,0.9166666666666666,0.0006747564509091687,0.0034246778383526526,0.01846527365189107,0.0031327931268963732,0.001624580343387025,0.01114165903858017
0.1599,0,0.6,0.8333333333333334,0.5783494705340386,0.5783494705340386,0.5783494705340386,1.0833333333333333,1.1666666666666665,0.25,0.41666666666666663,0.5833333333333333,0.5833333333333333,1.0833333333333333,0.8333333333333333,0.9166666666666666,0.0006747564509091687,0.0034246778383526526,0.01846527365189107,0.0031327931268963732,0.001624580343387025,0.01114165903858017
