Time_s,PLX,PLY,EstFreq_Hz,PhaseCorr,SW,RealSW,RLS_A_X,RLS_B_X
0.0000,0.0926,0.1671,0.5794,0.0000,0,0,0.0000,0.0461
0.0100,0.0890,0.1594,0.5794,0.0000,0,0,-0.0001,0.0445
0.0202,0.0863,0.1577,0.5794,0.0000,0,0,-0.0005,0.0433
0.0299,0.0880,0.1599,0.5794,0.0000,0,0,0.0002,0.0441
0.0402,0.0935,0.1581,0.5794,0.0000,0,0,0.0049,0.0465
0.0498,0.0924,0.1573,0.5794,0.0000,0,0,0.0041,0.0463
0.0600,0.0977,0.1588,0.5794,0.0000,0,0,0.0123,0.0478
0.0706,0.0970,0.1583,0.5794,0.0000,0,0,0.0119,0.0478
0.0800,0.0958,0.1618,0.5794,0.0000,0,0,0.0104,0.0475
0.0901,0.0956,0.1608,0.5794,0.0000,0,0,0.0101,0.0474
0.1000,0.0949,0.1579,0.5794,0.0000,0,0,0.0097,0.0473
0.1098,0.0939,0.1604,0.5794,0.0000,0,0,0.0090,0.0472
0.1201,0.0921,0.1659,0.5794,0.0000,0,0,0.0078,0.0469
0.1299,0.0906,0.1653,0.5794,0.0000,0,0,0.0068,0.0466
0.1404,0.0915,0.1601,0.5794,0.0000,0,0,0.0073,0.0467
0.1498,0.0920,0.1538,0.5794,0.0000,0,0,0.0080,0.0470
0.1599,0.0899,0.1607,0.5794,0.0000,0,0,0.0077,0.0469
0.1701,0.0879,0.1623,0.5794,0.0000,0,0,0.0071,0.0466
0.1800,0.0953,0.1599,0.5794,0.0000,0,0,0.0095,0.0476
0.1901,0.0946,0.1573,0.5794,0.0000,0,0,0.0108,0.0481
0.2000,0.0911,0.1579,0.5794,0.0000,0,0,0.0108,0.0481
0.2098,0.0891,0.1634,0.5794,0.0000,0,0,0.0105,0.0480
0.2202,0.0891,0.1601,0.5794,0.0000,0,0,0.0105,0.0480
0.2298,0.0897,0.1549,0.5794,0.0000,0,0,0.0109,0.0481
0.2402,0.0923,0.1510,0.5794,0.0000,0,0,0.0117,0.0485
0.2499,0.0913,0.1642,0.5794,0.0000,0,0,0.0123,0.0488
0.2599,0.0901,0.1706,0.5794,0.0000,0,0,0.0127,0.0490
0.2707,0.0938,0.1602,0.5794,0.0000,0,0,0.0137,0.0495
0.2801,0.0914,0.1542,0.5794,0.0000,0,0,0.0143,0.0498
0.2901,0.0964,0.1624,0.5794,0.0000,0,0,0.0154,0.0503
0.3000,0.0997,0.1712,0.5794,0.0000,0,0,0.0169,0.0510
0.3099,0.0919,0.1640,0.5794,0.0000,0,0,0.0172,0.0512
0.3201,0.0847,0.1550,0.5794,0.0000,0,0,0.0169,0.0511
0.3299,0.0885,0.1518,0.5794,0.0000,0,0,0.0172,0.0512
0.3404,0.0915,0.1596,0.5794,0.0000,0,0,0.0178,0.0515
0.3499,0.0919,0.1625,0.5794,0.0000,0,0,0.0185,0.0518
0.3599,0.0897,0.1585,0.5794,0.0000,0,0,0.0190,0.0520
0.3702,0.0902,0.1505,0.5794,0.0000,0,0,0.0195,0.0522
0.3800,0.0868,0.1526,0.5794,0.0000,0,0,0.0199,0.0523
0.3902,0.0902,0.1568,0.5794,0.0000,0,0,0.0206,0.0525
0.4000,0.0904,0.1624,0.5794,0.0000,0,0,0.0212,0.0527
0.4098,0.0886,0.1587,0.5794,0.0000,0,0,0.0218,0.0528
0.4202,0.0890,0.1615,0.5794,0.0000,0,0,0.0224,0.0529
0.4299,0.0946,0.1654,0.5794,0.0000,0,0,0.0234,0.0529
0.4402,0.0948,0.1604,0.5794,0.0000,0,0,0.0243,0.0529
0.4498,0.0957,0.1498,0.5794,0.0000,0,0,0.0253,0.0528
0.4600,0.0899,0.1551,0.5794,0.0000,0,0,0.0259,0.0526
0.4707,0.0880,0.1633,0.5794,0.0000,0,0,0.0265,0.0524
0.4800,0.0899,0.1650,0.5794,0.0000,0,0,0.0272,0.0521
0.4901,0.0944,0.1540,0.5794,0.0000,0,0,0.0280,0.0517
0.5000,0.0922,0.1502,0.5794,0.0000,0,0,0.0288,0.0512
0.5100,0.0923,0.1579,0.5794,0.0000,0,0,0.0295,0.0506
0.5202,0.0915,0.1607,0.5794,0.0000,0,0,0.0303,0.0500
0.5299,0.0967,0.1576,0.5794,0.0000,0,0,0.0311,0.0491
0.5404,0.0917,0.1571,0.5794,0.0000,0,0,0.0318,0.0483
0.5498,0.0939,0.1610,0.5794,0.0000,0,0,0.0325,0.0474
0.5600,0.0974,0.1639,0.5794,0.0000,0,0,0.0332,0.0463
0.5701,0.0972,0.1623,0.5794,0.0000,0,0,0.0340,0.0450
0.5800,0.0911,0.1565,0.5794,0.0000,0,0,0.0345,0.0440
0.5901,0.0833,0.1568,0.5794,0.0000,0,0,0.0348,0.0433
0.6000,0.0831,0.1664,0.5794,0.0000,0,0,0.0351,0.0426
0.6098,0.0878,0.1663,0.5794,0.0000,0,0,0.0354,0.0415
0.6201,0.0956,0.1538,0.5794,0.0000,0,0,0.0359,0.0399
0.6299,0.0966,0.1483,0.5794,0.0000,0,0,0.0363,0.0383
0.6402,0.0927,0.1570,0.5794,0.0000,0,0,0.0367,0.0368
0.6499,0.0896,0.1623,0.5794,0.0000,0,0,0.0369,0.0355
0.6600,0.0869,0.1550,0.5794,0.0000,0,0,0.0371,0.0342
0.6707,0.0922,0.1502,0.5794,0.0000,0,0,0.0372,0.0326
0.6800,0.0975,0.1555,0.5794,0.0000,0,0,0.0374,0.0307
0.6902,0.0972,0.1638,0.5794,0.0000,0,0,0.0374,0.0288
0.7000,0.0955,0.1571,0.5794,0.0000,0,0,0.0374,0.0269
0.7099,0.0876,0.1526,0.5794,0.0000,0,0,0.0374,0.0256
0.7202,0.0858,0.1518,0.5794,0.0000,0,0,0.0374,0.0244
0.7299,0.0894,0.1590,0.5794,0.0000,0,0,0.0373,0.0229
0.7403,0.0940,0.1630,0.5794,0.0000,0,0,0.0371,0.0211
0.7499,0.0928,0.1605,0.5794,0.0000,0,0,0.0369,0.0194
0.7599,0.0917,0.1549,0.5794,0.0000,0,0,0.0366,0.0178
0.7702,0.0909,0.1597,0.5794,0.0000,0,0,0.0364,0.0162
0.7800,0.0922,0.1633,0.5794,0.0000,0,0,0.0361,0.0146
0.7901,0.0948,0.1578,0.5794,0.0000,0,0,0.0357,0.0129
0.8000,0.0993,0.1548,0.5794,0.0000,0,0,0.0352,0.0109
0.8098,0.0998,0.1537,0.5794,0.0000,0,0,0.0347,0.0090
0.8202,0.0960,0.1534,0.5794,0.0000,0,0,0.0342,0.0073
0.8298,0.0989,0.1546,0.5794,0.0000,0,0,0.0337,0.0056
0.8402,0.0961,0.1518,0.5794,0.0000,0,0,0.0332,0.0040
0.8498,0.0953,0.1577,0.5794,0.0000,0,0,0.0326,0.0026
0.8599,0.0963,0.1619,0.5794,0.0000,0,0,0.0321,0.0011
0.8707,0.0975,0.1600,0.5794,0.0000,0,0,0.0315,-0.0003
0.8800,0.0911,0.1589,0.5794,0.0000,0,0,0.0310,-0.0014
0.8902,0.0917,0.1590,0.5794,0.0000,0,0,0.0305,-0.0025
0.9000,0.0931,0.1605,0.5794,0.0000,0,0,0.0299,-0.0036
0.9099,0.0974,0.1623,0.5794,0.0000,0,0,0.0293,-0.0049
0.9202,0.0950,0.1533,0.5794,0.0000,0,0,0.0286,-0.0060
0.9298,0.0878,0.1536,0.5794,0.0000,0,0,0.0282,-0.0068
0.9403,0.0889,0.1632,0.5794,0.0000,0,0,0.0277,-0.0076
0.9498,0.0900,0.1647,0.5794,0.0000,0,0,0.0272,-0.0084
